"RV030: SÜNNID, SURMAD JA LOOMULIK IIVE | Aasta ning Näitaja"

"Aasta","Elussünnid"
"1919",18456
"1920",19625
"1921",22067
"1922",22255
"1923",22347
"1924",21441
"1925",20445
"1926",19977
"1927",19705
"1928",20064
"1929",19110
"1930",19471
"1931",19509
"1932",19742
"1933",18208
"1934",17305
"1935",17891
"1936",18222
"1937",18190
"1938",18453
"1939",18475
"1940",18407
"1941",19574
"1942",19242
"1943",16001
"1944",15180
"1945",14968
"1946",19408
"1947",22721
"1948",21777
"1949",21770
"1950",20279
"1951",20730
"1952",21111
"1953",20146
"1954",20909
"1955",20786
"1956",19660
"1957",19509
"1958",19598
"1959",19938
"1960",20187
"1961",20230
"1962",19959
"1963",19275
"1964",19629
"1965",18909
"1966",18629
"1967",18671
"1968",19782
"1969",20781
"1970",21552
"1971",22118
"1972",21757
"1973",21239
"1974",21461
"1975",21360
"1976",21801
"1977",21977
"1978",21842
"1979",21879
"1980",22204
"1981",22937
"1982",23128
"1983",24155
"1984",24234
"1985",23630
"1986",24106
"1987",25086
"1988",25060
"1989",24318
"1990",22304
"1991",19413
"1992",18038
"1993",15253
"1994",14176
"1995",13509
"1996",13242
"1997",12577
"1998",12167
"1999",12425
"2000",13067
"2001",12632
"2002",13001
"2003",13036
"2004",13992
"2005",14350
"2006",14877
"2007",15775
"2008",16028
"2009",15763
"2010",15825
"2011",14679
"2012",14056
"2013",13531
"2014",13551
"2015",13907
"2016",14053
"2017",13784
"2018",14367
"2019",14099
"2020",13209
"2021",13272
